"BusNo.","Timeperiod","DecisionNo.","Mileage","ExpChoiceSpecificValuefunction","Chosen"
1,2,0,2,-22.298636394482,0
1,2,1,2,-21.0801550699975,1
1,3,0,1,-21.8255706090749,1
1,3,1,1,-21.0801550699975,0
1,4,0,2,-22.298636394482,1
1,4,1,2,-21.0801550699975,0
1,5,0,3,-22.5879595713284,1
1,5,1,3,-21.0801550699975,0
1,6,0,4,-22.7622881023206,1
1,6,1,4,-21.0801550699975,0
1,7,0,5,-22.8670085532735,0
1,7,1,5,-21.0801550699975,1
1,8,0,1,-21.8255706090749,1
1,8,1,1,-21.0801550699975,0
1,9,0,2,-22.298636394482,0
1,9,1,2,-21.0801550699975,1
1,10,0,1,-21.8255706090749,1
1,10,1,1,-21.0801550699975,0
1,11,0,2,-22.298636394482,1
1,11,1,2,-21.0801550699975,0
1,12,0,3,-22.5879595713284,0
1,12,1,3,-21.0801550699975,1
1,13,0,1,-21.8255706090749,1
1,13,1,1,-21.0801550699975,0
1,14,0,2,-22.298636394482,1
1,14,1,2,-21.0801550699975,0
1,15,0,3,-22.5879595713284,1
1,15,1,3,-21.0801550699975,0
1,16,0,4,-22.7622881023206,1
1,16,1,4,-21.0801550699975,0
1,17,0,5,-22.8670085532735,0
1,17,1,5,-21.0801550699975,1
1,18,0,1,-21.8255706090749,1
1,18,1,1,-21.0801550699975,0
1,19,0,2,-22.298636394482,1
1,19,1,2,-21.0801550699975,0
1,20,0,3,-22.5879595713284,1
1,20,1,3,-21.0801550699975,0
1,21,0,4,-22.7622881023206,1
1,21,1,4,-21.0801550699975,0
1,22,0,5,-22.8670085532735,0
1,22,1,5,-21.0801550699975,1
1,23,0,1,-21.8255706090749,1
1,23,1,1,-21.0801550699975,0
1,24,0,2,-22.298636394482,1
1,24,1,2,-21.0801550699975,0
1,25,0,3,-22.5879595713284,0
1,25,1,3,-21.0801550699975,1
1,26,0,1,-21.8255706090749,1
1,26,1,1,-21.0801550699975,0
1,27,0,2,-22.298636394482,1
1,27,1,2,-21.0801550699975,0
1,28,0,3,-22.5879595713284,1
1,28,1,3,-21.0801550699975,0
1,29,0,4,-22.7622881023206,1
1,29,1,4,-21.0801550699975,0
2,0,0,0,-21.0801550699975,1
2,0,1,0,-21.0801550699975,0
2,1,0,1,-21.8255706090749,1
2,1,1,1,-21.0801550699975,0
2,2,0,2,-22.298636394482,0
2,2,1,2,-21.0801550699975,1
2,3,0,1,-21.8255706090749,1
2,3,1,1,-21.0801550699975,0
2,4,0,2,-22.298636394482,1
2,4,1,2,-21.0801550699975,0
2,5,0,3,-22.5879595713284,0
2,5,1,3,-21.0801550699975,1
2,6,0,1,-21.8255706090749,1
2,6,1,1,-21.0801550699975,0
2,7,0,2,-22.298636394482,1
2,7,1,2,-21.0801550699975,0
2,8,0,3,-22.5879595713284,1
2,8,1,3,-21.0801550699975,0
2,9,0,4,-22.7622881023206,0
2,9,1,4,-21.0801550699975,1
2,10,0,1,-21.8255706090749,1
2,10,1,1,-21.0801550699975,0
2,11,0,2,-22.298636394482,1
2,11,1,2,-21.0801550699975,0
2,12,0,3,-22.5879595713284,0
2,12,1,3,-21.0801550699975,1
2,13,0,1,-21.8255706090749,1
2,13,1,1,-21.0801550699975,0
2,14,0,2,-22.298636394482,1
2,14,1,2,-21.0801550699975,0
2,15,0,3,-22.5879595713284,0
2,15,1,3,-21.0801550699975,1
2,16,0,1,-21.8255706090749,1
2,16,1,1,-21.0801550699975,0
2,17,0,2,-22.298636394482,1
2,17,1,2,-21.0801550699975,0
2,18,0,3,-22.5879595713284,1
2,18,1,3,-21.0801550699975,0
2,19,0,4,-22.7622881023206,1
2,19,1,4,-21.0801550699975,0
2,20,0,5,-22.8670085532735,0
2,20,1,5,-21.0801550699975,1
2,21,0,1,-21.8255706090749,1
2,21,1,1,-21.0801550699975,0
2,22,0,2,-22.298636394482,1
2,22,1,2,-21.0801550699975,0
2,23,0,3,-22.5879595713284,0
2,23,1,3,-21.0801550699975,1
2,24,0,1,-21.8255706090749,1
2,24,1,1,-21.0801550699975,0
2,25,0,2,-22.298636394482,0
2,25,1,2,-21.0801550699975,1
2,26,0,1,-21.8255706090749,1
2,26,1,1,-21.0801550699975,0
2,27,0,2,-22.298636394482,1
2,27,1,2,-21.0801550699975,0
2,28,0,3,-22.5879595713284,1
2,28,1,3,-21.0801550699975,0
2,29,0,4,-22.7622881023206,0
2,29,1,4,-21.0801550699975,1
3,0,0,0,-21.0801550699975,0
3,0,1,0,-21.0801550699975,1
3,1,0,1,-21.8255706090749,1
3,1,1,1,-21.0801550699975,0
3,2,0,2,-22.298636394482,0
3,2,1,2,-21.0801550699975,1
3,3,0,1,-21.8255706090749,1
3,3,1,1,-21.0801550699975,0
3,4,0,2,-22.298636394482,1
3,4,1,2,-21.0801550699975,0
3,5,0,3,-22.5879595713284,1
3,5,1,3,-21.0801550699975,0
3,6,0,4,-22.7622881023206,0
3,6,1,4,-21.0801550699975,1
3,7,0,1,-21.8255706090749,1
3,7,1,1,-21.0801550699975,0
3,8,0,2,-22.298636394482,1
3,8,1,2,-21.0801550699975,0
3,9,0,3,-22.5879595713284,0
3,9,1,3,-21.0801550699975,1
3,10,0,1,-21.8255706090749,0
3,10,1,1,-21.0801550699975,1
3,11,0,1,-21.8255706090749,1
3,11,1,1,-21.0801550699975,0
3,12,0,2,-22.298636394482,0
3,12,1,2,-21.0801550699975,1
3,13,0,1,-21.8255706090749,1
3,13,1,1,-21.0801550699975,0
3,14,0,2,-22.298636394482,1
3,14,1,2,-21.0801550699975,0
3,15,0,3,-22.5879595713284,1
3,15,1,3,-21.0801550699975,0
3,16,0,4,-22.7622881023206,1
3,16,1,4,-21.0801550699975,0
3,17,0,5,-22.8670085532735,0
3,17,1,5,-21.0801550699975,1
3,18,0,1,-21.8255706090749,1
3,18,1,1,-21.0801550699975,0
3,19,0,2,-22.298636394482,1
3,19,1,2,-21.0801550699975,0
3,20,0,3,-22.5879595713284,1
3,20,1,3,-21.0801550699975,0
3,21,0,4,-22.7622881023206,1
3,21,1,4,-21.0801550699975,0
3,22,0,5,-22.8670085532735,0
3,22,1,5,-21.0801550699975,1
3,23,0,1,-21.8255706090749,1
3,23,1,1,-21.0801550699975,0
3,24,0,2,-22.298636394482,1
3,24,1,2,-21.0801550699975,0
3,25,0,3,-22.5879595713284,1
3,25,1,3,-21.0801550699975,0
3,26,0,4,-22.7622881023206,1
3,26,1,4,-21.0801550699975,0
3,27,0,5,-22.8670085532735,0
3,27,1,5,-21.0801550699975,1
3,28,0,1,-21.8255706090749,1
3,28,1,1,-21.0801550699975,0
3,29,0,2,-22.298636394482,1
3,29,1,2,-21.0801550699975,0
4,0,0,0,-21.0801550699975,1
4,0,1,0,-21.0801550699975,0
4,1,0,1,-21.8255706090749,1
4,1,1,1,-21.0801550699975,0
4,2,0,2,-22.298636394482,1
4,2,1,2,-21.0801550699975,0
4,3,0,3,-22.5879595713284,1
4,3,1,3,-21.0801550699975,0
4,4,0,4,-22.7622881023206,1
4,4,1,4,-21.0801550699975,0
4,5,0,5,-22.8670085532735,0
4,5,1,5,-21.0801550699975,1
4,6,0,1,-21.8255706090749,1
4,6,1,1,-21.0801550699975,0
4,7,0,2,-22.298636394482,1
4,7,1,2,-21.0801550699975,0
4,8,0,3,-22.5879595713284,1
4,8,1,3,-21.0801550699975,0
4,9,0,4,-22.7622881023206,1
4,9,1,4,-21.0801550699975,0
4,10,0,5,-22.8670085532735,1
4,10,1,5,-21.0801550699975,0
4,11,0,6,-22.9300018317182,0
4,11,1,6,-21.0801550699975,1
4,12,0,1,-21.8255706090749,1
4,12,1,1,-21.0801550699975,0
4,13,0,2,-22.298636394482,0
4,13,1,2,-21.0801550699975,1
4,14,0,1,-21.8255706090749,1
4,14,1,1,-21.0801550699975,0
4,15,0,2,-22.298636394482,1
4,15,1,2,-21.0801550699975,0
4,16,0,3,-22.5879595713284,1
4,16,1,3,-21.0801550699975,0
4,17,0,4,-22.7622881023206,0
4,17,1,4,-21.0801550699975,1
4,18,0,1,-21.8255706090749,1
4,18,1,1,-21.0801550699975,0
4,19,0,2,-22.298636394482,1
4,19,1,2,-21.0801550699975,0
4,20,0,3,-22.5879595713284,1
4,20,1,3,-21.0801550699975,0
4,21,0,4,-22.7622881023206,0
4,21,1,4,-21.0801550699975,1
4,22,0,1,-21.8255706090749,1
4,22,1,1,-21.0801550699975,0
4,23,0,2,-22.298636394482,1
4,23,1,2,-21.0801550699975,0
4,24,0,3,-22.5879595713284,0
4,24,1,3,-21.0801550699975,1
4,25,0,1,-21.8255706090749,1
4,25,1,1,-21.0801550699975,0
4,26,0,2,-22.298636394482,0
4,26,1,2,-21.0801550699975,1
4,27,0,1,-21.8255706090749,1
4,27,1,1,-21.0801550699975,0
4,28,0,2,-22.298636394482,1
4,28,1,2,-21.0801550699975,0
4,29,0,3,-22.5879595713284,0
4,29,1,3,-21.0801550699975,1
5,0,0,0,-21.0801550699975,1
5,0,1,0,-21.0801550699975,0
5,1,0,1,-21.8255706090749,1
5,1,1,1,-21.0801550699975,0
5,2,0,2,-22.298636394482,1
5,2,1,2,-21.0801550699975,0
5,3,0,3,-22.5879595713284,1
5,3,1,3,-21.0801550699975,0
5,4,0,4,-22.7622881023206,0
5,4,1,4,-21.0801550699975,1
5,5,0,1,-21.8255706090749,0
5,5,1,1,-21.0801550699975,1
5,6,0,1,-21.8255706090749,1
5,6,1,1,-21.0801550699975,0
5,7,0,2,-22.298636394482,0
5,7,1,2,-21.0801550699975,1
5,8,0,1,-21.8255706090749,1
5,8,1,1,-21.0801550699975,0
5,9,0,2,-22.298636394482,1
5,9,1,2,-21.0801550699975,0
5,10,0,3,-22.5879595713284,0
5,10,1,3,-21.0801550699975,1
5,11,0,1,-21.8255706090749,1
5,11,1,1,-21.0801550699975,0
5,12,0,2,-22.298636394482,1
5,12,1,2,-21.0801550699975,0
5,13,0,3,-22.5879595713284,1
5,13,1,3,-21.0801550699975,0
5,14,0,4,-22.7622881023206,0
5,14,1,4,-21.0801550699975,1
5,15,0,1,-21.8255706090749,1
5,15,1,1,-21.0801550699975,0
5,16,0,2,-22.298636394482,1
5,16,1,2,-21.0801550699975,0
5,17,0,3,-22.5879595713284,0
5,17,1,3,-21.0801550699975,1
5,18,0,1,-21.8255706090749,1
5,18,1,1,-21.0801550699975,0
5,19,0,2,-22.298636394482,0
5,19,1,2,-21.0801550699975,1
5,20,0,1,-21.8255706090749,1
5,20,1,1,-21.0801550699975,0
5,21,0,2,-22.298636394482,0
5,21,1,2,-21.0801550699975,1
5,22,0,1,-21.8255706090749,1
5,22,1,1,-21.0801550699975,0
5,23,0,2,-22.298636394482,0
5,23,1,2,-21.0801550699975,1
5,24,0,1,-21.8255706090749,1
5,24,1,1,-21.0801550699975,0
5,25,0,2,-22.298636394482,1
5,25,1,2,-21.0801550699975,0
5,26,0,3,-22.5879595713284,0
5,26,1,3,-21.0801550699975,1
5,27,0,1,-21.8255706090749,1
5,27,1,1,-21.0801550699975,0
5,28,0,2,-22.298636394482,1
5,28,1,2,-21.0801550699975,0
5,29,0,3,-22.5879595713284,0
5,29,1,3,-21.0801550699975,1
6,0,0,0,-21.0801550699975,1
6,0,1,0,-21.0801550699975,0
6,1,0,1,-21.8255706090749,1
6,1,1,1,-21.0801550699975,0
6,2,0,2,-22.298636394482,1
6,2,1,2,-21.0801550699975,0
6,3,0,3,-22.5879595713284,0
6,3,1,3,-21.0801550699975,1
6,4,0,1,-21.8255706090749,0
6,4,1,1,-21.0801550699975,1
6,5,0,1,-21.8255706090749,1
6,5,1,1,-21.0801550699975,0
6,6,0,2,-22.298636394482,1
6,6,1,2,-21.0801550699975,0
6,7,0,3,-22.5879595713284,0
6,7,1,3,-21.0801550699975,1
6,8,0,1,-21.8255706090749,1
6,8,1,1,-21.0801550699975,0
6,9,0,2,-22.298636394482,0
6,9,1,2,-21.0801550699975,1
6,10,0,1,-21.8255706090749,0
6,10,1,1,-21.0801550699975,1
6,11,0,1,-21.8255706090749,1
6,11,1,1,-21.0801550699975,0
6,12,0,2,-22.298636394482,1
6,12,1,2,-21.0801550699975,0
6,13,0,3,-22.5879595713284,0
6,13,1,3,-21.0801550699975,1
6,14,0,1,-21.8255706090749,1
6,14,1,1,-21.0801550699975,0
6,15,0,2,-22.298636394482,0
6,15,1,2,-21.0801550699975,1
6,16,0,1,-21.8255706090749,1
6,16,1,1,-21.0801550699975,0
6,17,0,2,-22.298636394482,1
6,17,1,2,-21.0801550699975,0
6,18,0,3,-22.5879595713284,0
6,18,1,3,-21.0801550699975,1
6,19,0,1,-21.8255706090749,1
6,19,1,1,-21.0801550699975,0
6,20,0,2,-22.298636394482,1
6,20,1,2,-21.0801550699975,0
6,21,0,3,-22.5879595713284,1
6,21,1,3,-21.0801550699975,0
6,22,0,4,-22.7622881023206,0
6,22,1,4,-21.0801550699975,1
6,23,0,1,-21.8255706090749,1
6,23,1,1,-21.0801550699975,0
6,24,0,2,-22.298636394482,1
6,24,1,2,-21.0801550699975,0
6,25,0,3,-22.5879595713284,1
6,25,1,3,-21.0801550699975,0
6,26,0,4,-22.7622881023206,0
6,26,1,4,-21.0801550699975,1
6,27,0,1,-21.8255706090749,1
6,27,1,1,-21.0801550699975,0
6,28,0,2,-22.298636394482,0
6,28,1,2,-21.0801550699975,1
6,29,0,1,-21.8255706090749,1
6,29,1,1,-21.0801550699975,0
7,0,0,0,-21.0801550699975,1
7,0,1,0,-21.0801550699975,0
7,1,0,1,-21.8255706090749,1
7,1,1,1,-21.0801550699975,0
7,2,0,2,-22.298636394482,0
7,2,1,2,-21.0801550699975,1
7,3,0,1,-21.8255706090749,1
7,3,1,1,-21.0801550699975,0
7,4,0,2,-22.298636394482,0
7,4,1,2,-21.0801550699975,1
7,5,0,1,-21.8255706090749,1
7,5,1,1,-21.0801550699975,0
7,6,0,2,-22.298636394482,1
7,6,1,2,-21.0801550699975,0
7,7,0,3,-22.5879595713284,0
7,7,1,3,-21.0801550699975,1
7,8,0,1,-21.8255706090749,1
7,8,1,1,-21.0801550699975,0
7,9,0,2,-22.298636394482,0
7,9,1,2,-21.0801550699975,1
7,10,0,1,-21.8255706090749,1
7,10,1,1,-21.0801550699975,0
7,11,0,2,-22.298636394482,1
7,11,1,2,-21.0801550699975,0
7,12,0,3,-22.5879595713284,1
7,12,1,3,-21.0801550699975,0
7,13,0,4,-22.7622881023206,0
7,13,1,4,-21.0801550699975,1
7,14,0,1,-21.8255706090749,1
7,14,1,1,-21.0801550699975,0
7,15,0,2,-22.298636394482,1
7,15,1,2,-21.0801550699975,0
7,16,0,3,-22.5879595713284,0
7,16,1,3,-21.0801550699975,1
7,17,0,1,-21.8255706090749,1
7,17,1,1,-21.0801550699975,0
7,18,0,2,-22.298636394482,0
7,18,1,2,-21.0801550699975,1
7,19,0,1,-21.8255706090749,1
7,19,1,1,-21.0801550699975,0
7,20,0,2,-22.298636394482,0
7,20,1,2,-21.0801550699975,1
7,21,0,1,-21.8255706090749,1
7,21,1,1,-21.0801550699975,0
7,22,0,2,-22.298636394482,1
7,22,1,2,-21.0801550699975,0
7,23,0,3,-22.5879595713284,0
7,23,1,3,-21.0801550699975,1
7,24,0,1,-21.8255706090749,1
7,24,1,1,-21.0801550699975,0
7,25,0,2,-22.298636394482,0
7,25,1,2,-21.0801550699975,1
7,26,0,1,-21.8255706090749,1
7,26,1,1,-21.0801550699975,0
7,27,0,2,-22.298636394482,0
7,27,1,2,-21.0801550699975,1
7,28,0,1,-21.8255706090749,1
7,28,1,1,-21.0801550699975,0
7,29,0,2,-22.298636394482,1
7,29,1,2,-21.0801550699975,0
8,0,0,0,-21.0801550699975,1
8,0,1,0,-21.0801550699975,0
8,1,0,1,-21.8255706090749,1
8,1,1,1,-21.0801550699975,0
8,2,0,2,-22.298636394482,0
8,2,1,2,-21.0801550699975,1
8,3,0,1,-21.8255706090749,1
8,3,1,1,-21.0801550699975,0
8,4,0,2,-22.298636394482,0
8,4,1,2,-21.0801550699975,1
8,5,0,1,-21.8255706090749,0
8,5,1,1,-21.0801550699975,1
8,6,0,1,-21.8255706090749,1
8,6,1,1,-21.0801550699975,0
8,7,0,2,-22.298636394482,0
8,7,1,2,-21.0801550699975,1
8,8,0,1,-21.8255706090749,1
8,8,1,1,-21.0801550699975,0
8,9,0,2,-22.298636394482,1
8,9,1,2,-21.0801550699975,0
8,10,0,3,-22.5879595713284,1
8,10,1,3,-21.0801550699975,0
8,11,0,4,-22.7622881023206,0
8,11,1,4,-21.0801550699975,1
8,12,0,1,-21.8255706090749,1
8,12,1,1,-21.0801550699975,0
8,13,0,2,-22.298636394482,0
8,13,1,2,-21.0801550699975,1
8,14,0,1,-21.8255706090749,1
8,14,1,1,-21.0801550699975,0
8,15,0,2,-22.298636394482,1
8,15,1,2,-21.0801550699975,0
8,16,0,3,-22.5879595713284,0
8,16,1,3,-21.0801550699975,1
8,17,0,1,-21.8255706090749,1
8,17,1,1,-21.0801550699975,0
8,18,0,2,-22.298636394482,1
8,18,1,2,-21.0801550699975,0
8,19,0,3,-22.5879595713284,1
8,19,1,3,-21.0801550699975,0
8,20,0,4,-22.7622881023206,0
8,20,1,4,-21.0801550699975,1
8,21,0,1,-21.8255706090749,0
8,21,1,1,-21.0801550699975,1
8,22,0,1,-21.8255706090749,1
8,22,1,1,-21.0801550699975,0
8,23,0,2,-22.298636394482,1
8,23,1,2,-21.0801550699975,0
8,24,0,3,-22.5879595713284,0
8,24,1,3,-21.0801550699975,1
8,25,0,1,-21.8255706090749,1
8,25,1,1,-21.0801550699975,0
8,26,0,2,-22.298636394482,1
8,26,1,2,-21.0801550699975,0
8,27,0,3,-22.5879595713284,0
8,27,1,3,-21.0801550699975,1
8,28,0,1,-21.8255706090749,1
8,28,1,1,-21.0801550699975,0
8,29,0,2,-22.298636394482,0
8,29,1,2,-21.0801550699975,1
9,0,0,0,-21.0801550699975,1
9,0,1,0,-21.0801550699975,0
9,1,0,1,-21.8255706090749,0
9,1,1,1,-21.0801550699975,1
9,2,0,1,-21.8255706090749,1
9,2,1,1,-21.0801550699975,0
9,3,0,2,-22.298636394482,1
9,3,1,2,-21.0801550699975,0
9,4,0,3,-22.5879595713284,0
9,4,1,3,-21.0801550699975,1
9,5,0,1,-21.8255706090749,1
9,5,1,1,-21.0801550699975,0
9,6,0,2,-22.298636394482,1
9,6,1,2,-21.0801550699975,0
9,7,0,3,-22.5879595713284,1
9,7,1,3,-21.0801550699975,0
9,8,0,4,-22.7622881023206,0
9,8,1,4,-21.0801550699975,1
9,9,0,1,-21.8255706090749,1
9,9,1,1,-21.0801550699975,0
9,10,0,2,-22.298636394482,0
9,10,1,2,-21.0801550699975,1
9,11,0,1,-21.8255706090749,1
9,11,1,1,-21.0801550699975,0
9,12,0,2,-22.298636394482,0
9,12,1,2,-21.0801550699975,1
9,13,0,1,-21.8255706090749,1
9,13,1,1,-21.0801550699975,0
9,14,0,2,-22.298636394482,0
9,14,1,2,-21.0801550699975,1
9,15,0,1,-21.8255706090749,1
9,15,1,1,-21.0801550699975,0
9,16,0,2,-22.298636394482,1
9,16,1,2,-21.0801550699975,0
9,17,0,3,-22.5879595713284,0
9,17,1,3,-21.0801550699975,1
9,18,0,1,-21.8255706090749,0
9,18,1,1,-21.0801550699975,1
9,19,0,1,-21.8255706090749,1
9,19,1,1,-21.0801550699975,0
9,20,0,2,-22.298636394482,1
9,20,1,2,-21.0801550699975,0
9,21,0,3,-22.5879595713284,1
9,21,1,3,-21.0801550699975,0
9,22,0,4,-22.7622881023206,1
9,22,1,4,-21.0801550699975,0
9,23,0,5,-22.8670085532735,0
9,23,1,5,-21.0801550699975,1
9,24,0,1,-21.8255706090749,1
9,24,1,1,-21.0801550699975,0
9,25,0,2,-22.298636394482,0
9,25,1,2,-21.0801550699975,1
9,26,0,1,-21.8255706090749,1
9,26,1,1,-21.0801550699975,0
9,27,0,2,-22.298636394482,1
9,27,1,2,-21.0801550699975,0
9,28,0,3,-22.5879595713284,0
9,28,1,3,-21.0801550699975,1
9,29,0,1,-21.8255706090749,1
9,29,1,1,-21.0801550699975,0
10,0,0,0,-21.0801550699975,1
10,0,1,0,-21.0801550699975,0
10,1,0,1,-21.8255706090749,1
10,1,1,1,-21.0801550699975,0
10,2,0,2,-22.298636394482,1
10,2,1,2,-21.0801550699975,0
10,3,0,3,-22.5879595713284,1
10,3,1,3,-21.0801550699975,0
10,4,0,4,-22.7622881023206,0
10,4,1,4,-21.0801550699975,1
10,5,0,1,-21.8255706090749,1
10,5,1,1,-21.0801550699975,0
10,6,0,2,-22.298636394482,1
10,6,1,2,-21.0801550699975,0
10,7,0,3,-22.5879595713284,0
10,7,1,3,-21.0801550699975,1
10,8,0,1,-21.8255706090749,1
10,8,1,1,-21.0801550699975,0
10,9,0,2,-22.298636394482,1
10,9,1,2,-21.0801550699975,0
10,10,0,3,-22.5879595713284,0
10,10,1,3,-21.0801550699975,1
10,11,0,1,-21.8255706090749,1
10,11,1,1,-21.0801550699975,0
10,12,0,2,-22.298636394482,1
10,12,1,2,-21.0801550699975,0
10,13,0,3,-22.5879595713284,0
10,13,1,3,-21.0801550699975,1
10,14,0,1,-21.8255706090749,1
10,14,1,1,-21.0801550699975,0
10,15,0,2,-22.298636394482,0
10,15,1,2,-21.0801550699975,1
10,16,0,1,-21.8255706090749,0
10,16,1,1,-21.0801550699975,1
10,17,0,1,-21.8255706090749,1
10,17,1,1,-21.0801550699975,0
10,18,0,2,-22.298636394482,0
10,18,1,2,-21.0801550699975,1
10,19,0,1,-21.8255706090749,1
10,19,1,1,-21.0801550699975,0
10,20,0,2,-22.298636394482,0
10,20,1,2,-21.0801550699975,1
10,21,0,1,-21.8255706090749,0
10,21,1,1,-21.0801550699975,1
10,22,0,1,-21.8255706090749,1
10,22,1,1,-21.0801550699975,0
10,23,0,2,-22.298636394482,1
10,23,1,2,-21.0801550699975,0
10,24,0,3,-22.5879595713284,1
10,24,1,3,-21.0801550699975,0
10,25,0,4,-22.7622881023206,0
10,25,1,4,-21.0801550699975,1
10,26,0,1,-21.8255706090749,1
10,26,1,1,-21.0801550699975,0
10,27,0,2,-22.298636394482,0
10,27,1,2,-21.0801550699975,1
10,28,0,1,-21.8255706090749,1
10,28,1,1,-21.0801550699975,0
10,29,0,2,-22.298636394482,1
10,29,1,2,-21.0801550699975,0
11,0,0,0,-21.0801550699975,1
11,0,1,0,-21.0801550699975,0
11,1,0,1,-21.8255706090749,1
11,1,1,1,-21.0801550699975,0
11,2,0,2,-22.298636394482,1
11,2,1,2,-21.0801550699975,0
11,3,0,3,-22.5879595713284,0
11,3,1,3,-21.0801550699975,1
11,4,0,1,-21.8255706090749,1
11,4,1,1,-21.0801550699975,0
11,5,0,2,-22.298636394482,1
11,5,1,2,-21.0801550699975,0
11,6,0,3,-22.5879595713284,0
11,6,1,3,-21.0801550699975,1
11,7,0,1,-21.8255706090749,1
11,7,1,1,-21.0801550699975,0
11,8,0,2,-22.298636394482,0
11,8,1,2,-21.0801550699975,1
11,9,0,1,-21.8255706090749,1
11,9,1,1,-21.0801550699975,0
11,10,0,2,-22.298636394482,1
11,10,1,2,-21.0801550699975,0
11,11,0,3,-22.5879595713284,0
11,11,1,3,-21.0801550699975,1
11,12,0,1,-21.8255706090749,0
11,12,1,1,-21.0801550699975,1
11,13,0,1,-21.8255706090749,1
11,13,1,1,-21.0801550699975,0
11,14,0,2,-22.298636394482,1
11,14,1,2,-21.0801550699975,0
11,15,0,3,-22.5879595713284,0
11,15,1,3,-21.0801550699975,1
11,16,0,1,-21.8255706090749,1
11,16,1,1,-21.0801550699975,0
11,17,0,2,-22.298636394482,1
11,17,1,2,-21.0801550699975,0
11,18,0,3,-22.5879595713284,1
11,18,1,3,-21.0801550699975,0
11,19,0,4,-22.7622881023206,0
11,19,1,4,-21.0801550699975,1
11,20,0,1,-21.8255706090749,1
11,20,1,1,-21.0801550699975,0
11,21,0,2,-22.298636394482,0
11,21,1,2,-21.0801550699975,1
11,22,0,1,-21.8255706090749,1
11,22,1,1,-21.0801550699975,0
11,23,0,2,-22.298636394482,1
11,23,1,2,-21.0801550699975,0
11,24,0,3,-22.5879595713284,0
11,24,1,3,-21.0801550699975,1
11,25,0,1,-21.8255706090749,0
11,25,1,1,-21.0801550699975,1
11,26,0,1,-21.8255706090749,0
11,26,1,1,-21.0801550699975,1
11,27,0,1,-21.8255706090749,1
11,27,1,1,-21.0801550699975,0
11,28,0,2,-22.298636394482,1
11,28,1,2,-21.0801550699975,0
11,29,0,3,-22.5879595713284,1
11,29,1,3,-21.0801550699975,0
12,0,0,0,-21.0801550699975,1
12,0,1,0,-21.0801550699975,0
12,1,0,1,-21.8255706090749,1
12,1,1,1,-21.0801550699975,0
12,2,0,2,-22.298636394482,1
12,2,1,2,-21.0801550699975,0
12,3,0,3,-22.5879595713284,0
12,3,1,3,-21.0801550699975,1
12,4,0,1,-21.8255706090749,1
12,4,1,1,-21.0801550699975,0
12,5,0,2,-22.298636394482,1
12,5,1,2,-21.0801550699975,0
12,6,0,3,-22.5879595713284,0
12,6,1,3,-21.0801550699975,1
12,7,0,1,-21.8255706090749,1
12,7,1,1,-21.0801550699975,0
12,8,0,2,-22.298636394482,1
